d,l,c
1,1,1
1,2,2
1,3,1
2,1,16
2,2,3
2,3,2
3,1,116
3,2,22
3,3,5
4,1,907
4,2,118
4,3,29
4,4,5
4,5,2
5,1,7386
5,2,796
5,3,152
5,4,22
5,5,5
5,6,1
5,7,1
6,1,62320
6,2,5617
6,3,847
6,4,81
6,5,35
6,6,5
6,7,1
7,1,537676
7,2,41985
7,3,5684
7,4,594
7,5,113
7,6,26
7,7,3
8,1,4729512
8,2,325625
8,3,37591
8,4,3379
8,5,647
8,6,106
8,7,14
8,8,2
9,1,42203429
9,2,2590452
9,3,266278
9,4,21776
9,5,3546
9,6,512
9,7,79
9,8,6
9,9,1
10,1,380939150
10,2,21135515
10,3,1961089
10,4,144209
10,5,21580
10,6,3022
10,7,375
10,8,33
10,9,4
10,10,0
11,1,3471440229
11,2,175568079
11,3,14829670
11,4,1008752
11,5,135835
11,6,17570
11,7,1973
11,8,175
11,9,19
11,10,0
