p,d,k,l
2,1,1,5
3,1,1,2
5,1,1,4
7,1,1,1
11,2,1,3
13,2,1,1
17,2,1,1
19,2,1,1
23,2,1,2
29,2,1,2
31,2,1,1
37,2,1,1
41,2,1,3
43,2,1,1
47,2,1,1
53,2,1,2
59,2,1,1
61,2,1,1
67,2,1,1
71,2,1,1
73,2,1,1
79,2,1,1
83,2,1,2
89,2,1,6
97,2,1,1
101,3,1,1
103,3,1,1
107,3,1,1
109,3,1,1
113,3,1,2
127,3,1,1
131,3,1,2
137,3,1,1
139,3,1,1
149,3,1,1
151,3,1,1
157,3,1,1
163,3,1,1
167,3,1,1
173,3,1,2
179,3,1,5
181,3,1,1
191,3,1,2
193,3,1,1
197,3,1,1
199,3,1,1
211,3,1,1
223,3,1,1
227,3,1,1
229,3,1,1
233,3,1,2
239,3,1,2
241,3,1,1
251,3,1,2
257,3,1,1
263,3,1,1
269,3,1,1
271,3,1,1
277,3,1,1
281,3,1,2
283,3,1,1
293,3,1,2
307,3,1,1
311,3,1,1
313,3,1,1
317,3,1,1
331,3,1,1
337,3,1,1
347,3,1,1
349,3,1,1
353,3,1,1
359,3,1,4
367,3,1,1
373,3,1,1
379,3,1,1
383,3,1,1
389,3,1,1
397,3,1,1
401,3,1,1
409,3,1,1
419,3,1,2
421,3,1,1
431,3,1,2
433,3,1,1
439,3,1,1
443,3,1,2
449,3,1,1
457,3,1,1
461,3,1,1
463,3,1,1
467,3,1,1
479,3,1,1
487,3,1,1
491,3,1,2
499,3,1,1
503,3,1,1
509,3,1,4
521,3,1,1
523,3,1,1
541,3,1,1
547,3,1,1
557,3,1,1
563,3,1,1
569,3,1,1
571,3,1,1
577,3,1,1
587,3,1,1
593,3,1,2
599,3,1,1
601,3,1,1
607,3,1,1
613,3,1,1
617,3,1,1
619,3,1,1
631,3,1,1
641,3,1,2
643,3,1,1
647,3,1,1
653,3,1,2
659,3,1,2
661,3,1,1
673,3,1,1
677,3,1,1
683,3,1,2
691,3,1,1
701,3,1,1
709,3,1,1
719,3,1,3
727,3,1,1
733,3,1,1
739,3,1,1
743,3,1,2
751,3,1,1
757,3,1,1
761,3,1,2
769,3,1,1
773,3,1,1
787,3,1,1
797,3,1,1
809,3,1,2
811,3,1,1
821,3,1,1
823,3,1,1
827,3,1,1
829,3,1,1
839,3,1,1
853,3,1,1
857,3,1,1
859,3,1,1
863,3,1,1
877,3,1,1
881,3,1,1
883,3,1,1
887,3,1,1
907,3,1,1
911,3,1,2
919,3,1,1
929,3,1,1
937,3,1,1
941,3,1,1
947,3,1,1
953,3,1,2
967,3,1,1
971,3,1,1
977,3,1,1
983,3,1,1
991,3,1,1
997,3,1,1
1009,4,1,1
1013,4,1,2
1019,4,1,3
1021,4,1,1
1031,4,1,3
1033,4,1,1
1039,4,1,1
1049,4,1,2
1051,4,1,1
1061,4,1,1
1063,4,1,1
1069,4,1,1
1087,4,1,1
